"region_id","ENSEMBL","SYMBOL","RNA_priority","RNA_support_score","chr","start","end","distance_to_TSS","H3K27ac_condition_blind_mean","H3K4me1_condition_blind_mean","H3K27ac_condition_blind_percentile","H3K4me1_condition_blind_percentile","condition_blind_combined_score","H3K27ac_Day1_delta","H3K27ac_Day6_delta","H3K27ac_BG_shift","H3K27ac_cross_time_same_direction","H3K27ac_BG_shift_opposes_Day6","H3K27ac_BG_closer_to_RPMI","H3K27ac_persistent_BG_reversible","H3K4me1_Day1_delta","H3K4me1_Day6_delta","H3K4me1_BG_shift","H3K4me1_cross_time_same_direction","H3K4me1_BG_shift_opposes_Day6","H3K4me1_BG_closer_to_RPMI","H3K4me1_persistent_BG_reversible","Distal_mark_support_count","Distal_any_mark_support","Distal_dual_mark_support"
"LRRK2_DISTAL_chr12_40601547_40602546","ENSG00000188906","LRRK2","HIGH",3,"chr12",40601547,40602546,11500,47.097,19.5333,0.988307823129252,0.989158163265306,0.988732993197279,1.706,3.248,-8.3545,TRUE,TRUE,FALSE,FALSE,24.0225,4.5975,-7.8265,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE
"LYN_DISTAL_chr8_56886395_56887394","ENSG00000254087","LYN","HIGH",3,"chr8",56886395,56887394,94500,57.9508,29.9116,0.993197278911565,1,0.996598639455782,125.882,8.77,-5.209,TRUE,TRUE,TRUE,TRUE,30.5445,-0.398999999999997,-7.706,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE
"MAP3K8_DISTAL_chr10_30781951_30782950","ENSG00000107968","MAP3K8","HIGH",3,"chr10",30781951,30782950,59500,48.8291,21.6465,0.989583333333333,0.995960884353742,0.992772108843538,1.4165,12.7175,-13.7485,TRUE,TRUE,TRUE,TRUE,18.4955,-0.979500000000002,-6.5625,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE
"MAP4K3_DISTAL_chr2_39718443_39719442","ENSG00000011566","MAP4K3","INTERMEDIATE",2,"chr2",39718443,39719442,-54500,22.9932,14.7965,0.96109693877551,0.957908163265306,0.959502551020408,-23.3085,-6.707,13.3365,TRUE,TRUE,TRUE,TRUE,18.2655,-0.713500000000002,0.0400000000000009,FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE
"MAPK13_DISTAL_chr6_36088586_36089585","ENSG00000156711","MAPK13","HIGH",3,"chr6",36088586,36089585,-6501,17.6986,22.5829,0.946853741496599,0.99766156462585,0.972257653061224,18.206,-2.3155,-1.2495,FALSE,FALSE,FALSE,FALSE,24.263,2.2,-8.414,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE
"MATK_DISTAL_chr19_3761127_3762126","ENSG00000007264","MATK","HIGH",3,"chr19",3761127,3762126,40501,47.0034,10.229,0.988095238095238,0.893920068027211,0.941007653061225,0.0874999999999986,-3.348,-0.165000000000006,FALSE,FALSE,FALSE,FALSE,13.237,1.857,-3.977,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE
"MET_DISTAL_chr7_116272250_116273249","ENSG00000105976","MET","INTERMEDIATE",2,"chr7",116272250,116273249,-39501,11.6996,16.9748,0.922831632653061,0.977465986394558,0.95014880952381,40.1,2.8405,-3.5295,TRUE,TRUE,TRUE,TRUE,25.5135,-3.014,-3.118,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE
"NRBP1_DISTAL_chr2_27594657_27595656","ENSG00000115216","NRBP1","INTERMEDIATE",2,"chr2",27594657,27595656,-55501,18.3729,13.3578,0.948554421768708,0.942602040816326,0.945578231292517,-5.9045,-1.2935,0.746,TRUE,TRUE,TRUE,TRUE,16.1065,0.833,-4.882,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE
"PRKACB_DISTAL_chr1_84610746_84611745","ENSG00000142875","PRKACB","INTERMEDIATE",2,"chr1",84610746,84611745,67500,15.6738,11.7998,0.93983843537415,0.920705782312925,0.930272108843538,-15.944,-7.368,5.4495,TRUE,TRUE,TRUE,TRUE,17.0805,0.9505,-2.968,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE
"PRKX_DISTAL_chrX_3612690_3613689","ENSG00000183943","PRKX","INTERMEDIATE",2,"chrX",3612690,3613689,18501,10.4497,12.8453,0.914540816326531,0.938350340136054,0.926445578231293,-9.5295,-2.8645,4.147,TRUE,TRUE,TRUE,TRUE,19.149,0.7805,-0.989,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE
"RPS6KA1_DISTAL_chr1_26866253_26867252","ENSG00000117676","RPS6KA1","INTERMEDIATE",2,"chr1",26866253,26867252,10500,32.9858,29.6523,0.976828231292517,0.999787414965986,0.988307823129252,-10.0025,3.4415,-6.9075,FALSE,TRUE,FALSE,FALSE,25.469,0.672000000000001,-10.5305,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE
"STK17B_DISTAL_chr2_197106228_197107227","ENSG00000081320","STK17B","INTERMEDIATE",2,"chr2",197106228,197107227,-65500,36.5028,19.1845,0.980229591836735,0.987882653061224,0.98405612244898,17.311,-1.7665,-1.72,FALSE,FALSE,FALSE,FALSE,14.717,2.5675,-7.277,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE
"TIE1_DISTAL_chr1_43847654_43848653","ENSG00000066056","TIE1","INTERMEDIATE",2,"chr1",43847654,43848653,81500,49.5999,29.5682,0.990433673469388,0.999574829931973,0.99500425170068,-47.93,-3.20549999999999,-2.0045,TRUE,FALSE,FALSE,FALSE,25.867,-2.9995,-7.1485,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
