"region_id","ENSEMBL","SYMBOL","ENTREZID","RNA_priority","RNA_support_score","region_type","chr","start","end","distance_to_TSS","D1_RPMI_r1_H3K27ac","D1_RPMI_r2_H3K27ac","D1_LPS_r1_H3K27ac","D1_LPS_r2_H3K27ac","D1_RPMI_r1_H3K4me1","D1_RPMI_r2_H3K4me1","D1_LPS_r1_H3K4me1","D1_LPS_r2_H3K4me1","D6_RPMI_d73_H3K27ac","D6_RPMI_d74_H3K27ac","D6_LPS_d73_H3K27ac","D6_LPS_d74_H3K27ac","D6_RESCUE_d73_H3K27ac","D6_RESCUE_d74_H3K27ac","D6_RPMI_d73_H3K4me1","D6_RPMI_d74_H3K4me1","D6_LPS_d73_H3K4me1","D6_LPS_d74_H3K4me1","D6_RESCUE_d73_H3K4me1","D6_RESCUE_d74_H3K4me1","H3K27ac_condition_blind_mean","H3K4me1_condition_blind_mean","H3K27ac_condition_blind_percentile","H3K4me1_condition_blind_percentile","condition_blind_combined_score","abs_distance_to_TSS"
"LRRK2_DISTAL_chr12_40601547_40602546","ENSG00000188906","LRRK2",120892,"HIGH",3,"distal","chr12",40601547,40602546,11500,58.739,59.918,56.805,65.264,22.777,11.49,42.128,40.184,43.802,34.185,35.003,49.48,21.563,46.211,16.771,8.568,16.189,18.345,1.584,17.297,47.097,19.5333,0.988307823129252,0.989158163265306,0.988732993197279,11500
"LYN_DISTAL_chr8_56886395_56887394","ENSG00000254087","LYN",4067,"HIGH",3,"distal","chr8",56886395,56887394,94500,22.497,20.015,156.434,137.842,35.551,18.51,55.202,59.948,44.452,28.234,52.008,38.218,29.619,50.189,29.455,19.516,23.813,24.36,4.863,27.898,57.9508,29.9116,0.993197278911565,1,0.996598639455782,94500
"MAP3K8_DISTAL_chr10_30781951_30782950","ENSG00000107968","MAP3K8",1326,"HIGH",3,"distal","chr10",30781951,30782950,59500,63.758,50.07,38.479,78.182,28.079,17.009,43.357,38.722,47.588,30.555,52.021,51.557,22.675,53.406,22.728,12.719,14.133,19.355,2.019,18.344,48.8291,21.6465,0.989583333333333,0.995960884353742,0.992772108843538,59500
"MAP4K3_DISTAL_chr2_39718443_39719442","ENSG00000011566","MAP4K3",8491,"INTERMEDIATE",2,"distal","chr2",39718443,39719442,-54500,32.983,21.903,2.66,5.609,19.237,10.093,35.993,29.868,33.555,22.089,19.463,22.767,28.979,39.924,10.608,7.908,6.869,10.22,3.507,13.662,22.9932,14.7965,0.96109693877551,0.957908163265306,0.959502551020408,54500
"MAPK13_DISTAL_chr6_36088586_36089585","ENSG00000156711","MAPK13",5603,"HIGH",3,"distal","chr6",36088586,36089585,-6501,14.345,11.658,27.461,34.954,29.951,12.043,45.171,45.349,18.558,14.885,15.581,13.231,10.596,15.717,19.946,13.835,18.965,19.216,2.311,19.042,17.6986,22.5829,0.946853741496599,0.99766156462585,0.972257653061224,6501
"MATK_DISTAL_chr19_3761127_3762126","ENSG00000007264","MATK",4145,"HIGH",3,"distal","chr19",3761127,3762126,40501,58.942,56.4,56.241,59.276,15.871,5.5,25.265,22.58,45.425,38.874,42.098,35.505,30.622,46.651,6.989,4.211,8.273,6.641,0.525,6.435,47.0034,10.229,0.988095238095238,0.893920068027211,0.941007653061225,40501
"MET_DISTAL_chr7_116272250_116273249","ENSG00000105976","MET",4233,"INTERMEDIATE",2,"distal","chr7",116272250,116273249,-39501,3.991,3.695,44.047,43.839,15.231,8.22,36.932,37.546,3.628,2.079,7.324,4.064,2.831,1.498,19.531,10.506,12.436,11.573,2.44,15.333,11.6996,16.9748,0.922831632653061,0.977465986394558,0.95014880952381,39501
"NRBP1_DISTAL_chr2_27594657_27595656","ENSG00000115216","NRBP1",29959,"INTERMEDIATE",2,"distal","chr2",27594657,27595656,-55501,33.37,19.182,21.173,19.57,16.268,4.218,25.867,26.832,19.287,12.085,14.141,14.644,12.88,17.397,14.119,8.156,13.854,10.087,2.051,12.126,18.3729,13.3578,0.948554421768708,0.942602040816326,0.945578231292517,55501
"PRKACB_DISTAL_chr1_84610746_84611745","ENSG00000142875","PRKACB",5567,"INTERMEDIATE",2,"distal","chr1",84610746,84611745,67500,27.456,19.937,8.153,7.352,19.538,8.425,31.819,30.305,23.485,13.986,11.407,11.328,13.933,19.701,5.421,4.594,4.928,6.988,1.406,4.574,15.6738,11.7998,0.93983843537415,0.920705782312925,0.930272108843538,67500
"PRKX_DISTAL_chrX_3612690_3613689","ENSG00000183943","PRKX",5613,"INTERMEDIATE",2,"distal","chrX",3612690,3613689,18501,18.516,12.537,5.331,6.663,10.838,10.596,30.699,29.033,9.618,11.92,5.754,10.055,7.489,16.614,7.778,7.603,5.161,11.781,0.593,14.371,10.4497,12.8453,0.914540816326531,0.938350340136054,0.926445578231293,18501
"RPS6KA1_DISTAL_chr1_26866253_26867252","ENSG00000117676","RPS6KA1",6195,"INTERMEDIATE",2,"distal","chr1",26866253,26867252,10500,55.92,37.82,32.414,41.321,46.087,16.211,60.731,52.505,30.992,23.152,28.304,32.723,18.092,29.12,30.309,16.145,22.708,25.09,3.258,23.479,32.9858,29.6523,0.976828231292517,0.999787414965986,0.988307823129252,10500
"STK17B_DISTAL_chr2_197106228_197107227","ENSG00000081320","STK17B",9262,"INTERMEDIATE",2,"distal","chr2",197106228,197107227,-65500,56.121,39.575,44.547,85.771,27.8,12.652,37.925,31.961,29.679,20.161,25.037,21.27,15.975,26.892,18.137,10.46,17.85,15.882,3.074,16.104,36.5028,19.1845,0.980229591836735,0.987882653061224,0.98405612244898,65500
"TIE1_DISTAL_chr1_43847654_43848653","ENSG00000066056","TIE1",7075,"INTERMEDIATE",2,"distal","chr1",43847654,43848653,81500,86.135,76.169,26.579,39.865,37.413,19.257,59.279,49.125,55.611,39.083,45.421,42.862,30.82,53.454,34.017,18.284,24.271,22.031,2.603,29.402,49.5999,29.5682,0.990433673469388,0.999574829931973,0.99500425170068,81500
