"ENSEMBL","SYMBOL","RNA_chromatin_priority","Directional_support_score","Day6_memory_log2FC","Day6_memory_FDR_kinase","Promoter_mark_support_count","Promoter_any_mark_support","Promoter_dual_mark_support","Fixed_distal_region_id","Fixed_distal_chr","Fixed_distal_start","Fixed_distal_end","Fixed_distal_distance_to_TSS","Fixed_distal_selection_score","Distal_mark_support_count","Distal_any_mark_support","Distal_dual_mark_support","Any_corrected_chromatin_support","Any_corrected_dual_mark_support","Corrected_chromatin_support_class","Corrected_RNA_plus_chromatin_class"
"ENSG00000183943","PRKX","INTERMEDIATE",2,-1.07169577520305,0.0264808208850477,2,TRUE,TRUE,"PRKX_DISTAL_chrX_3612690_3613689","chrX",3612690,3613689,18501,0.926445578231293,2,TRUE,TRUE,TRUE,TRUE,"DUAL_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_DUAL_CHROMATIN"
"ENSG00000115216","NRBP1","INTERMEDIATE",2,-0.973834885189471,0.033933882408987,2,TRUE,TRUE,"NRBP1_DISTAL_chr2_27594657_27595656","chr2",27594657,27595656,-55501,0.945578231292517,1,TRUE,FALSE,TRUE,TRUE,"DUAL_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_DUAL_CHROMATIN"
"ENSG00000106683","LIMK1","EXPLORATORY",1,-1.35080244320351,0.033933882408987,1,TRUE,FALSE,"LIMK1_DISTAL_chr7_73507264_73508263","chr7",73507264,73508263,10500,0.97140731292517,2,TRUE,TRUE,TRUE,TRUE,"DUAL_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_DUAL_CHROMATIN"
"ENSG00000090376","IRAK3","INTERMEDIATE",2,1.81658258204673,0.00667274512104861,1,TRUE,FALSE,"IRAK3_DISTAL_chr12_66661976_66662975","chr12",66661976,66662975,79500,0.985119047619048,0,FALSE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_SINGLE_MARK_CHROMATIN"
"ENSG00000011566","MAP4K3","INTERMEDIATE",2,-1.36750596638692,0.0113989422607306,1,TRUE,FALSE,"MAP4K3_DISTAL_chr2_39718443_39719442","chr2",39718443,39719442,-54500,0.959502551020408,1,TRUE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_SINGLE_MARK_CHROMATIN"
"ENSG00000145349","CAMK2D","INTERMEDIATE",2,-1.59148610271898,0.0139106175995138,1,TRUE,FALSE,"CAMK2D_DISTAL_chr4_114705084_114706083","chr4",114705084,114706083,-22500,0.977359693877551,0,FALSE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_SINGLE_MARK_CHROMATIN"
"ENSG00000184216","IRAK1","INTERMEDIATE",2,-1.13016820521028,0.0264808208850477,1,TRUE,FALSE,"IRAK1_DISTAL_chrX_153247353_153248352","chrX",153247353,153248352,37501,0.951955782312925,0,FALSE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_SINGLE_MARK_CHROMATIN"
"ENSG00000142875","PRKACB","INTERMEDIATE",2,-1.7838013912156,0.0264808208850477,1,TRUE,FALSE,"PRKACB_DISTAL_chr1_84610746_84611745","chr1",84610746,84611745,67500,0.930272108843538,1,TRUE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_SINGLE_MARK_CHROMATIN"
"ENSG00000081320","STK17B","INTERMEDIATE",2,1.14559666008961,0.0463389612840972,1,TRUE,FALSE,"STK17B_DISTAL_chr2_197106228_197107227","chr2",197106228,197107227,-65500,0.98405612244898,0,FALSE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","NONHIGH_RNA_PLUS_SINGLE_MARK_CHROMATIN"
"ENSG00000117676","RPS6KA1","INTERMEDIATE",2,-1.05979931189588,0.0264808208850477,0,FALSE,FALSE,"RPS6KA1_DISTAL_chr1_26866253_26867252","chr1",26866253,26867252,10500,0.988307823129252,0,FALSE,FALSE,FALSE,FALSE,"NO_DIRECTIONAL_CHROMATIN_SUPPORT","EXPLORATORY"
"ENSG00000000938","FGR","INTERMEDIATE",2,-1.41368663464578,0.0264808208850477,0,FALSE,FALSE,"FGR_DISTAL_chr1_27956696_27957695","chr1",27956696,27957695,4501,0.987670068027211,0,FALSE,FALSE,FALSE,FALSE,"NO_DIRECTIONAL_CHROMATIN_SUPPORT","EXPLORATORY"
"ENSG00000164885","CDK5","INTERMEDIATE",2,-1.42398112937955,0.0463389612840972,0,FALSE,FALSE,"CDK5_DISTAL_chr7_150786985_150787984","chr7",150786985,150787984,-32500,0.982355442176871,0,FALSE,FALSE,FALSE,FALSE,"NO_DIRECTIONAL_CHROMATIN_SUPPORT","EXPLORATORY"
"ENSG00000066056","TIE1","INTERMEDIATE",2,-1.66014626802696,0.0466671110185461,0,FALSE,FALSE,"TIE1_DISTAL_chr1_43847654_43848653","chr1",43847654,43848653,81500,0.99500425170068,0,FALSE,FALSE,FALSE,FALSE,"NO_DIRECTIONAL_CHROMATIN_SUPPORT","EXPLORATORY"
