"ENTREZID","SYMBOL","ENSEMBL","chr","start","end","strand","width","Mark","Contrast","Log_signal_difference","AveExpr","t","P_value","FDR","B","Direction"
"1326","MAP3K8","ENSG00000107968","chr10",30720950,30724949,"+",4000,"H3K4me1","BG_vs_RPMI",-0.0592125450597227,2.94505833820437,-0.163156366900902,0.870417430455707,0.999295880922878,-4.63077064606716,"DOWN"
"1326","MAP3K8","ENSG00000107968","chr10",30720950,30724949,"+",4000,"H3K4me1","LPS_vs_RPMI",-0.108916229652732,2.94505833820437,-0.300111679184884,0.764133806070861,0.99810613730001,-5.17967322242611,"DOWN"
"1326","MAP3K8","ENSG00000107968","chr10",30720950,30724949,"+",4000,"H3K4me3","BG_vs_RPMI",0.401517778522467,6.61436164621826,1.01255767956371,0.311435767574625,0.513364375332454,-5.02085439589165,"UP"
"1326","MAP3K8","ENSG00000107968","chr10",30720950,30724949,"+",4000,"H3K4me3","LPS_vs_RPMI",0.177687783802567,6.61436164621826,0.448097543067767,0.654147903718767,0.995072878029387,-5.87025300399933,"UP"
"657","BMPR1A","ENSG00000107779","chr10",88513543,88517542,"+",4000,"H3K27ac","BG_vs_RPMI",0.123539208632968,2.96873886025659,0.352879468864944,0.733046207748529,0.99973894856585,-4.62360895369124,"UP"
"657","BMPR1A","ENSG00000107779","chr10",88513543,88517542,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.0249543766553608,2.96873886025659,-0.0712801002810499,0.944876572483316,0.998918875707077,-5.33813401499988,"DOWN"
"657","BMPR1A","ENSG00000107779","chr10",88513543,88517542,"+",4000,"H3K4me1","BG_vs_RPMI",0.335620159809245,2.63485238768698,0.924779806001349,0.355230100707875,0.999295880922878,-4.60153500536514,"UP"
"657","BMPR1A","ENSG00000107779","chr10",88513543,88517542,"+",4000,"H3K4me1","LPS_vs_RPMI",0.0709397877249165,2.63485238768698,0.195470031261864,0.845051630511023,0.99810613730001,-5.19804567435966,"UP"
"657","BMPR1A","ENSG00000107779","chr10",88513543,88517542,"+",4000,"H3K4me3","BG_vs_RPMI",0.296643892294232,6.00333440229691,0.748084063284854,0.4545274301722,0.561940628844735,-5.21058634067196,"UP"
"657","BMPR1A","ENSG00000107779","chr10",88513543,88517542,"+",4000,"H3K4me3","LPS_vs_RPMI",-0.138572729598078,6.00333440229691,-0.349456211002593,0.726796188373413,0.995072878029387,-5.90704404152592,"DOWN"
