"ENSEMBL","SYMBOL","Day1_log2FC","Day1_P","Day1_FDR_kinase","Day1_Day6_relationship","Day6_memory_log2FC","Day6_memory_FDR_kinase","Day6_memory_FDR_genome","Response_pattern","Tolerance_interaction_log2","Interaction_P","Interaction_FDR_genome","BG_baseline_reversal_supported","BG_response_restoration_supported","Directional_support_score","RNA_chromatin_priority"
"ENSG00000164885","CDK5",-0.805806346999482,0.20675654673769,0.606637571171196,"same_direction_no_nominal_support",-1.42398112937955,0.0463389612840972,0.100504530230936,"maintained_or_enhanced",-0.958982118440111,0.0556944187772734,0.984506858881451,TRUE,TRUE,2,"INTERMEDIATE"
"ENSG00000184216","IRAK1",1.40819674359995,0.0525378391258918,0.432174225645861,"opposite_direction_no_nominal_support",-1.13016820521028,0.0264808208850477,0.0687255467164514,"direction_changed",0.744783017048118,0.0743776806414172,0.995288743699047,TRUE,TRUE,2,"INTERMEDIATE"
"ENSG00000117676","RPS6KA1",0.19617421279872,0.763557740191649,0.952925010087287,"memory_emergent_small_Day1_effect",-1.05979931189588,0.0264808208850477,0.0726746890451168,"blunted_same_direction",0.555684169055333,0.10844848654582,0.995288743699047,TRUE,FALSE,2,"INTERMEDIATE"
"ENSG00000183943","PRKX",-2.17938908195466,0.0293753787907746,0.377461577377434,"acute_supported_same_direction",-1.07169577520305,0.0264808208850477,0.0635238990478477,"direction_changed",-0.681599951911859,0.111928303463069,0.995288743699047,TRUE,TRUE,2,"INTERMEDIATE"
"ENSG00000081320","STK17B",1.84018291969333,0.0306179402696997,0.377461577377434,"acute_supported_same_direction",1.14559666008961,0.0463389612840972,0.100504530230936,"direction_changed",-0.75954395598762,0.122961721014489,0.995288743699047,TRUE,TRUE,2,"INTERMEDIATE"
"ENSG00000011566","MAP4K3",-1.07854784447954,0.0563247251899881,0.432174225645861,"same_direction_no_nominal_support",-1.36750596638692,0.0113989422607306,0.0460229426839811,"direction_changed",1.29347841296595,0.125213029649778,0.995288743699047,TRUE,TRUE,2,"INTERMEDIATE"
"ENSG00000105976","MET",5.01208105570524,0.00296170350404752,0.237429897574476,"acute_supported_same_direction",3.65400816166338,0.0155503715764962,0.052475257296739,"blunted_same_direction",-0.884789121470661,0.14369587509016,0.995288743699047,TRUE,FALSE,2,"INTERMEDIATE"
"ENSG00000000938","FGR",0.673158047217429,0.497258994465295,0.799938382400692,"opposite_direction_no_nominal_support",-1.41368663464578,0.0264808208850477,0.0690934922299426,"direction_changed",0.653566218596181,0.151442025433187,0.995288743699047,TRUE,TRUE,2,"INTERMEDIATE"
"ENSG00000145349","CAMK2D",-1.90758750029374,0.0501866368827818,0.432174225645861,"same_direction_no_nominal_support",-1.59148610271898,0.0139106175995138,0.052475257296739,"maintained_or_enhanced",-0.470649083033076,0.257161348032289,0.995288743699047,TRUE,TRUE,2,"INTERMEDIATE"
"ENSG00000066056","TIE1",-2.5011702364561,0.0389690488241942,0.406355004925105,"acute_supported_same_direction",-1.66014626802696,0.0466671110185461,0.101741875603001,"blunted_same_direction",-0.190790290017964,0.771699588925804,0.999988062517115,TRUE,FALSE,2,"INTERMEDIATE"
"ENSG00000090376","IRAK3",1.63312732742495,0.021892630910349,0.363115705788892,"acute_supported_same_direction",1.81658258204673,0.00667274512104861,0.0333313055636124,"blunted_same_direction",0.0591181539482906,0.86731664198793,0.999988062517115,TRUE,FALSE,2,"INTERMEDIATE"
"ENSG00000115216","NRBP1",0.498187992658415,0.273467253627503,0.668833285987665,"opposite_direction_no_nominal_support",-0.973834885189471,0.033933882408987,0.0827050503409167,"blunted_same_direction",-0.0474393017717679,0.884476335830151,0.999988062517115,TRUE,FALSE,2,"INTERMEDIATE"
"ENSG00000142875","PRKACB",-0.0819737843470693,0.895148466687435,0.970574349805446,"memory_emergent_small_Day1_effect",-1.7838013912156,0.0264808208850477,0.0721948834831137,"blunted_same_direction",0.0100189136217163,0.987150231498716,0.999988062517115,TRUE,FALSE,2,"INTERMEDIATE"
"ENSG00000106683","LIMK1",-0.595547971740325,0.175316582827082,0.585392629656694,"same_direction_no_nominal_support",-1.35080244320351,0.033933882408987,0.0868670338421668,"maintained_or_enhanced",-0.128677459524224,0.737815449484471,0.999988062517115,TRUE,FALSE,1,"EXPLORATORY"
